show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,TV Show,Netflix Title 1,Sara Wilson,"Actor A, Actor B",Mexico,"February 4, 2018",2018,PG,10 Seasons,Thrillers,Sample description for Netflix title 1.
s2,TV Show,Netflix Title 2,Jane Doe,"Actor F, Actor G",Mexico,"December 17, 2021",2021,TV-PG,1 Seasons,Crime TV Shows,Sample description for Netflix title 2.
s3,Movie,Netflix Title 3,Jane Doe,Actor E,South Korea,"August 22, 2014",2014,G,149 min,Crime TV Shows,Sample description for Netflix title 3.
s4,Movie,Netflix Title 4,David Kim,"Actor H, Actor I",Mexico,"April 28, 2015",2015,PG,130 min,Romantic Movies,Sample description for Netflix title 4.
s5,TV Show,Netflix Title 5,Jane Doe,"Actor F, Actor G",Canada,"May 5, 2012",2012,G,5 Seasons,Documentaries,Sample description for Netflix title 5.
s6,Movie,Netflix Title 6,David Kim,"Actor H, Actor I",India,"November 17, 2016",2016,PG-13,65 min,Sci-Fi,Sample description for Netflix title 6.
s7,Movie,Netflix Title 7,John Smith,"Actor F, Actor G",France,"May 25, 2019",2019,TV-PG,137 min,Documentaries,Sample description for Netflix title 7.
s8,TV Show,Netflix Title 8,David Kim,"Actor H, Actor I",Japan,"October 28, 2013",2013,R,3 Seasons,Drama,Sample description for Netflix title 8.
s9,TV Show,Netflix Title 9,Sara Wilson,Actor E,Mexico,"October 21, 2016",2016,PG,7 Seasons,Drama,Sample description for Netflix title 9.
s10,TV Show,Netflix Title 10,Jane Doe,"Actor F, Actor G",United Kingdom,"November 26, 2021",2021,R,3 Seasons,Romantic Movies,Sample description for Netflix title 10.
s11,Movie,Netflix Title 11,Jane Doe,"Actor C, Actor D",Canada,"May 14, 2008",2008,PG,114 min,Horror,Sample description for Netflix title 11.
s12,Movie,Netflix Title 12,John Smith,Actor E,United Kingdom,"September 3, 2014",2014,R,89 min,Action & Adventure,Sample description for Netflix title 12.
s13,TV Show,Netflix Title 13,Alex Lee,Actor E,United Kingdom,"September 10, 2022",2022,TV-PG,7 Seasons,Documentaries,Sample description for Netflix title 13.
s14,TV Show,Netflix Title 14,Emily Brown,"Actor H, Actor I",Australia,"June 3, 2023",2023,TV-PG,5 Seasons,Thrillers,Sample description for Netflix title 14.
s15,TV Show,Netflix Title 15,John Smith,"Actor C, Actor D",France,"December 21, 2014",2014,PG-13,3 Seasons,Action & Adventure,Sample description for Netflix title 15.
s16,Movie,Netflix Title 16,Raj Kumar,Actor E,South Korea,"September 10, 2012",2012,TV-14,166 min,Drama,Sample description for Netflix title 16.
s17,Movie,Netflix Title 17,Sara Wilson,"Actor C, Actor D",United States,"August 26, 2009",2009,R,157 min,Thrillers,Sample description for Netflix title 17.
s18,Movie,Netflix Title 18,Raj Kumar,"Actor F, Actor G",United States,"November 1, 2009",2009,R,142 min,Thrillers,Sample description for Netflix title 18.
s19,TV Show,Netflix Title 19,John Smith,"Actor F, Actor G",Japan,"November 24, 2011",2011,PG,1 Seasons,Thrillers,Sample description for Netflix title 19.
s20,TV Show,Netflix Title 20,Alex Lee,"Actor A, Actor B",Spain,"October 6, 2022",2022,PG-13,2 Seasons,Horror,Sample description for Netflix title 20.
s21,TV Show,Netflix Title 21,Sara Wilson,"Actor F, Actor G",France,"December 2, 2014",2014,PG,5 Seasons,Horror,Sample description for Netflix title 21.
